filename,artist,title,style,genre,date,idx
633.jpg,7b5a9186df853ff921c211145ca5ab59,Nude Woman Standing ,Realism,nude painting (nu),,633
840.jpg,e8eae9a2f53456f01d601ae153f76a2d,Boy with a Greyhound,Mannerism (Late Renaissance),portrait,,840
820.jpg,accb302082074fa3b73308a2e42f1fd4,A Lady with a Drawing of Lucretia,High Renaissance,portrait,c.1531,820
216.jpg,782192dc825c7c1149825adcb7caacbc,Plum Blossom and Bush Warbler,Ukiyo-e,bird-and-flower painting,1838,216
271.jpg,74a1dad53214d04514269a188f16683a,Transfiguration,Art Nouveau (Modern),symbolic painting,c.1906,271
393.jpg,608e86021cb827b9056f11e0a01073c7,The Blower,Realism,portrait,,393
254.jpg,bf1d0c9118c5c4d6973bfeb5d7657d83,The widow,Realism,portrait,,254
186.jpg,5d6136636d3015e201f6096d67c89860,Lake Traun,Romanticism,landscape,1840,186
856.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,interior,,856
377.jpg,450fc8bc8b9924db9bd48172f6498d3b,"Simon Fraser, 11th Baron Lovat",Baroque,portrait,,377
830.jpg,51b72626792ce4fabab05000bac62e7d,"Solomon's Wall, Jerusalem",Orientalism,cityscape,,830
211.jpg,d8ac73f0218c738977444c6217a35211,Elisabeth at the Table,Fauvism,portrait,1909,211
182.jpg,907642811d82d1a8bd61417b5683e48d,The Spinner,Rococo,genre painting,,182
982.jpg,e60882af79cababb03ddfa980a75448c,The Crockery Vendor,Romanticism,genre painting,1779,982
628.jpg,46200eee40e22039aef7a5944bb445c9,Draft for the space of ​​the Austrian State Printing House on show in London,Art Nouveau (Modern),design,1906,628
513.jpg,925aa369b0793b82b0c79df590b98832,View of Salisbury Cathedral from the Bishop's Grounds,Romanticism,landscape,c.1823,513
321.jpg,74a1dad53214d04514269a188f16683a,The truth,Art Nouveau (Modern),symbolic painting,1903,321
957.jpg,3cbc8bc4a88d67bda34c2d436212e2cf,Leaving School,Realism,genre painting,c.1848,957
629.jpg,dc589f213ba7bd398714ac2796b7c0ab,The Death of Seneca,Baroque,history painting,c.1615,629
253.jpg,3cc9a44380296d93e68b71a27643c25f,The farm of Bellevue,Post-Impressionism,landscape,1892,253
44.jpg,183ead1b4ef41afcb47cd4fcb9f5a1df,Ships at sea,Romanticism,marina,1867,44
40.jpg,96ea00928e83b362a190d624a3c357ca,"Repenting of St. Jerome, also called St. Jerome with Cardinal Hat",Tenebrism,religious painting,1650,40
748.jpg,7e7b4392f5776bb7c65a603155727f59,Grien in the church St. George Gutach Bleienbach,Northern Renaissance,design,,748
868.jpg,8f59e3f70611b198f0536f60187cb64b,Christ Carrying the Cross,Baroque,religious painting,1660,868
704.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,"Octopus, Red Fish",Ukiyo-e,animal painting,,704
654.jpg,0641cf433776d46e89adfe142bd22379,Crucifixion,Early Renaissance,religious painting,1475,654
459.jpg,782192dc825c7c1149825adcb7caacbc,Temple complex on an island and ferries on a river,Ukiyo-e,landscape,,459
967.jpg,ad8cc0e8386fb460ac34a62244dffc26,Portrait of a Young Man (Alessandro de Medici ),Mannerism (Late Renaissance),portrait,c.1526,967
825.jpg,51b72626792ce4fabab05000bac62e7d,A Soul Taken away by an Angel ,Academicism,allegorical painting,1853,825
539.jpg,45f4183820ce1fa775f8a27d3120aad6,The Village of Novgorod Governorate,Post-Impressionism,landscape,1912,539
849.jpg,c3e9d9ebe5f2900190bef9342c440bd9,Portrait of Jacob muffle ,Northern Renaissance,portrait,1526,849
986.jpg,54e7b38b5c91716bd3ad99a0ab740a18,Women of Paris: The Circus Lover,Realism,genre painting,1885,986
106.jpg,512fb34e01bd21a92e7ec1380577c985,"Study to ""Above the eternal tranquility""",Realism,landscape,1892,106
937.jpg,0aa40001869bf1e86a1bdae741f79220,The Japanese Parisian,Romanticism,genre painting,1872,937
753.jpg,68cbc428edbcf480cbbb9a0e66e7046d,Lilacs in a Window,Impressionism,still life,c.1880,753
441.jpg,46200eee40e22039aef7a5944bb445c9,Picture book for the niece of Ditha Mautner von Markhof,Art Nouveau (Modern),illustration,1904,441
296.jpg,599777e56cedc655aef921713d5becd1,St. Christopher,Northern Renaissance,religious painting,c.1435,296
306.jpg,c8c719bbaa146ed79fe08d536dc2dd7e,Archangel Raphael with Adam and Eve,Symbolism,religious painting,1808,306
804.jpg,1a8d67dbb446bdc4298cc0be56932a38,Charing Cross Bridge,Impressionism,cityscape,1903,804
600.jpg,821cc8348e92c1dd6e2308b4d578fa25,The Port of Le Havre  ,Post-Impressionism,marina,1906,600
479.jpg,8cdd41002b7b5c5d112865054a7fe13e,Mask Dance,Cubism,genre painting,1929,479
507.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Miners' wives carrying sacks of coal,Realism,genre painting,1882,507
860.jpg,db4b3b7cf13fd013ce873be4b59303ff,King David (Israel Travel Poster),Cubism,poster,1956.0,860
153.jpg,25ae5f1122be2bd3460525c418b9d492,Coronation of the Virgin,Early Renaissance,religious painting,1435,153
784.jpg,b15d8d493527dccb0b3e02b1ef65258d,Peasant Wedding,Northern Renaissance,genre painting,1568,784
853.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Tiger,Ukiyo-e,battle painting,,853
801.jpg,d7f21b854745372690a1896b8342d19f,The Chimera,Symbolism,mythological painting,1867,801
7.jpg,83e9823eb4868ca162fd3b7adff70096,"The Inferno, Canto 28",Romanticism,illustration,,7
788.jpg,83e9823eb4868ca162fd3b7adff70096,"The Inferno, Canto 30",Romanticism,illustration,,788
560.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Bank of the Rhone at Arles,Post-Impressionism,landscape,1888,560
760.jpg,48b59a894aafec218cbda701ca69da89,Self Portrait with Monkeys,Naïve Art (Primitivism),self-portrait,1943.0,760
252.jpg,24aa3b8d132a64607956435cbcb4abfd,Flusslandschaft ,Post-Impressionism,marina,1907.0,252
710.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Self-Portrait,Post-Impressionism,self-portrait,1887,710
514.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Woman with a Broom,Realism,sketch and study,1882,514
157.jpg,1e595d48fcdc7832cb923efc35aa8da4,"Ribs, Ribs",Neo-Expressionism,figurative,1982.0,157
93.jpg,caf6b5d6cc448a3e4e95fe4b245c5c26,Title page of The Boy's King Arthur,Romanticism,illustration,1922,93
516.jpg,7e4dc558dfaf1fde7eb908e370393d00,Sunflowers on the Banks of the Seine,Impressionism,landscape,c.1886,516
